Stations_id,Bezugszeitraum,Datenquelle,Jan.,Feb.,M‰rz,Apr.,Mai,Jun.,Jul.,Aug.,Sept.,Okt.,Nov.,Dez.,Jahr
3856,1981-2010,46,92.3,103.6,133.0,155.8,181.3,181.1,211.6,198.7,154.7,131.9,89.8,75.5,1709.4
3857,1981-2010,42,87.0,103.0,132.0,158.0,183.0,185.0,216.0,201.0,154.0,129.0,85.0,70.0,1703.0
3867,1981-2010,46,44.1,70.3,109.8,171.4,212.5,192.1,205.2,191.6,139.1,103.8,50.9,36.5,1527.3
3875,1981-2010,46,50.6,82.3,118.6,173.6,210.8,209.5,229.9,215.5,157.3,109.1,50.2,39.8,1647.0
3878,1981-2010,46,51.4,87.2,123.9,182.5,223.9,217.4,240.6,224.5,160.7,115.9,50.6,42.3,1720.9
3879,1981-2010,46,52.5,87.5,125.3,182.0,224.3,217.4,241.3,225.4,161.8,116.3,51.8,42.9,1728.5
3883,1981-2010,46,53.6,75.9,109.1,162.8,198.3,188.3,210.6,202.6,145.1,110.7,52.6,42.5,1552.1
3897,1981-2010,42,43.0,64.0,118.0,184.0,242.0,219.0,238.0,216.0,153.0,111.0,52.0,34.0,1674.0
3903,1981-2010,46,35.5,68.9,114.4,175.4,201.1,214.2,232.3,212.8,149.7,92.6,41.7,28.4,1567.1
3904,1981-2010,42,36.0,69.0,114.0,174.0,200.0,214.0,231.0,211.0,150.0,93.0,42.0,29.0,1563.0
3915,1981-2010,46,55.5,76.0,117.0,179.2,226.2,211.8,231.4,217.5,155.9,119.9,60.3,45.2,1695.9
3922,1981-2010,46,48.3,75.1,114.3,161.9,183.5,185.5,203.8,196.7,149.6,102.8,50.8,36.0,1508.2
3924,1981-2010,46,59.6,82.8,122.3,170.0,201.7,218.1,238.1,222.4,162.7,109.8,64.7,45.4,1697.5
3925,1981-2010,42,61.0,81.0,119.0,170.0,199.0,214.0,234.0,220.0,163.0,110.0,66.0,46.0,1683.0
3927,1981-2010,46,56.7,83.8,128.0,165.9,203.4,216.7,242.3,223.3,165.3,109.7,60.7,44.2,1700.0
3929,1981-2010,46,47.9,78.8,120.5,174.8,206.7,218.5,238.1,222.0,160.4,102.9,52.9,36.4,1659.9
