Stations_id,Bezugszeitraum,Datenquelle,Jan.,Feb.,M‰rz,Apr.,Mai,Jun.,Jul.,Aug.,Sept.,Okt.,Nov.,Dez.,Jahr
1,1981-2010,46,56.9,81.5,126.0,164.1,197.4,215.4,239.7,219.1,161.3,109.6,60.3,42.7,1673.9
3,1981-2010,44,63.5,83.0,119.3,163.3,195.6,196.6,208.5,195.7,149.3,120.4,71.0,50.2,1613.6
44,1981-2010,44,37.3,70.8,106.3,171.7,215.5,193.0,208.4,201.7,133.1,102.0,46.3,31.4,1506.7
52,1981-2010,46,39.5,64.6,105.9,168.7,215.1,191.9,210.2,197.5,141.6,104.4,47.3,30.6,1517.2
61,1981-2010,46,47.1,82.4,122.5,180.0,224.9,224.2,242.8,223.0,161.8,109.7,46.7,38.7,1703.8
70,1981-2010,46,67.0,85.7,122.3,159.1,189.5,198.9,224.6,212.6,158.4,109.5,67.4,49.5,1644.5
71,1981-2010,42,72.0,90.0,128.0,157.0,192.0,206.0,230.0,214.0,159.0,112.0,68.0,51.0,1679.0
72,1981-2010,46,63.6,84.5,119.5,153.8,179.9,176.8,206.3,205.7,153.7,104.9,60.5,45.4,1554.8
73,1981-2010,44,46.2,73.0,107.1,172.4,222.0,215.4,239.4,223.0,139.2,97.3,45.1,40.3,1617.9
78,1981-2010,46,46.3,71.7,107.8,163.7,203.6,189.6,203.4,188.0,137.4,104.5,51.8,37.5,1505.3
91,1981-2010,46,40.7,69.7,106.2,165.1,195.6,195.7,210.5,197.3,137.8,92.7,39.5,30.3,1481.0
93,1981-2010,46,38.6,67.9,106.8,165.2,195.2,197.3,212.2,197.3,138.0,90.9,37.6,28.3,1475.3
96,1981-2010,42,48.0,69.0,115.0,187.0,235.0,220.0,233.0,215.0,153.0,110.0,49.0,37.0,1671.0
98,1981-2010,46,44.1,73.4,98.8,154.1,183.5,181.3,194.5,180.8,125.3,90.1,39.2,35.1,1400.2
116,1981-2010,46,56.7,75.0,110.8,169.4,211.6,201.0,221.2,208.9,147.5,113.0,55.4,44.2,1614.6
125,1981-2010,42,80.0,96.0,131.0,165.0,196.0,199.0,227.0,211.0,155.0,123.0,77.0,61.0,1721.0
129,1981-2010,46,47.1,69.1,116.6,183.8,238.3,215.3,233.8,212.3,150.5,113.1,50.7,35.6,1666.1
131,1981-2010,42,62.0,79.0,114.0,170.0,215.0,203.0,222.0,210.0,150.0,119.0,60.0,50.0,1654.0
132,1981-2010,46,53.4,80.2,110.1,165.2,203.3,193.2,216.8,211.1,153.5,113.2,53.5,43.6,1597.0
142,1981-2010,46,62.0,86.7,125.6,170.6,208.0,210.0,235.0,217.4,158.1,112.0,60.6,46.7,1692.8
150,1981-2010,44,42.8,74.5,122.9,184.3,217.3,216.5,235.2,222.2,153.9,89.5,48.3,36.6,1649.9
151,1981-2010,46,44.0,76.9,112.8,169.4,205.9,203.1,225.8,212.2,152.5,107.2,44.6,33.6,1587.9
154,1981-2010,42,66.0,89.0,125.0,169.0,206.0,200.0,232.0,213.0,157.0,120.0,68.0,49.0,1694.0
161,1981-2010,42,39.0,69.0,104.0,156.0,181.0,188.0,202.0,186.0,132.0,90.0,41.0,29.0,1417.0
