Stations_id,Bezugszeitraum,Datenquelle,Jan.,Feb.,März,Apr.,Mai,Jun.,Jul.,Aug.,Sept.,Okt.,Nov.,Dez.,Jahr,
       222,1981-2010,        42,        57,        75,       104,       159,       189,       182,       207,       196,       139,       110,        53,        45,      1516,
       231,1981-2010,        46,      62.7,      88.5,     126.2,     171.7,     204.6,     213.8,     236.6,     219.9,     157.4,       109,      59.2,      46.8,    1696.6,
       232,1981-2010,        44,      64.1,      90.1,     127.3,     175.2,       210,     218.1,     240.1,     223.2,     159.3,     107.9,      59.1,      48.7,    1721.1,
       243,1981-2010,        46,        44,      69.2,     111.2,     177.9,     218.3,     195.3,     207.1,     193.8,     137.7,     102.5,        51,      37.2,    1545.2,
       257,1981-2010,        46,        51,      74.1,     113.5,     164.4,     193.5,     210.7,     230.8,     216.1,     154.4,     101.2,        55,      36.1,    1600.7,
       259,1981-2010,        46,      49.4,        72,       121,     163.1,     193.9,     216.5,     237.4,     222.8,       157,     102.3,      52.3,      35.3,      1623,
       268,1981-2010,        42,        59,        79,       118,       160,       189,       204,       225,       214,       156,       109,        64,        44,      1621,
       273,1981-2010,        46,      57.1,      84.5,     130.6,     170.6,     203.2,     216.1,     242.8,     220.5,     160.9,     108.4,      61.3,        43,    1698.9,
       282,1981-2010,        44,      51.2,      81.3,     112.6,     170.5,     208.7,     211.2,     226.5,     213.3,     155.6,       105,        49,      39.5,    1624.1,
       283,1981-2010,        46,      52.3,      82.3,     112.7,     169.7,     207.7,     209.1,     226.2,     213.2,     154.9,     105.9,      50.8,      40.2,    1624.8,
       284,1981-2010,        46,      52.9,      83.9,     112.8,     169.7,     207.8,     209.4,     226.2,     213.4,     155.2,     106.9,      51.1,      40.6,      1630,
       288,1981-2010,        46,      48.4,        68,     119.8,     188.4,     246.8,     225.5,     248.1,     217.4,     156.2,     113.6,      52.1,      38.2,    1722.5,
       294,1981-2010,        42,        45,        70,       105,       162,       205,       192,       206,       192,       138,       102,        49,        35,      1501,
       298,1981-2010,        46,      44.9,      65.8,     120.9,     191.1,     254.5,     231.2,     250.8,     219.4,     156.9,     110.5,      52.3,      35.8,      1734,
       303,1981-2010,        42,        54,        74,       117,       176,       223,       209,       230,       215,       155,       117,        60,        43,      1673,
       314,1981-2010,        42,        55,        75,       114,       176,       219,       206,       226,       215,       150,       117,        56,        45,      1654,
       320,1981-2010,        44,        44,      70.7,     108.7,     171.9,     210.3,     208.1,     228.1,     215.8,     156.6,     110.2,      46.2,      34.9,    1605.5,
       326,1981-2010,        42,        48,        74,       109,       164,       201,       195,       208,       191,       137,       105,        51,        39,      1522,
       327,1981-2010,        46,      44.9,      69.2,     110.9,     174.6,     222.3,     199.4,     214.7,     199.9,     142.4,     105.1,      51.9,      36.1,    1571.4,
       330,1981-2010,        46,      45.8,      82.3,     118.5,     169.7,     198.1,     202.4,     222.7,     213.4,     159.3,     108.5,      52.8,      36.3,    1609.7,
       335,1981-2010,        46,      41.6,      62.5,     112.4,     180.3,       237,       214,       232,     212.7,     146.9,     106.2,      51.7,      33.5,    1630.9,
       342,1981-2010,        42,        48,        73,       108,       164,       203,       190,       205,       189,       138,       105,        53,        39,      1515,
       348,1981-2010,        46,      45.9,      72.8,       108,     162.8,     189.2,     193.7,     205.4,     192.8,     137.3,      92.7,      45.2,      35.6,    1481.4,
       355,1981-2010,        46,      37.1,      74.5,       119,     179.1,     212.3,       217,     237.5,     223.4,     158.8,     100.3,      42.8,        29,    1630.8,
       361,1981-2010,        46,      56.2,      76.1,     109.6,     154.6,     184.5,     174.8,     206.5,     194.5,     143.4,     112.1,      60.2,      37.4,      1510,
       365,1981-2010,        46,      48.3,      78.4,       114,       171,       208,     207.7,     228.3,     214.2,       154,     107.3,      49.7,      36.7,    1617.8,
       368,1981-2010,        42,        45,        69,       108,       167,       213,       199,       213,       199,       144,       107,        50,        35,      1549,
       377,1981-2010,        46,      49.8,      84.7,     127.7,       176,     211.6,     225.1,     241.7,     226.8,     169.2,     105.1,      59.9,      39.5,      1717,
       379,1981-2010,        46,      57.7,      74.1,     110.8,       166,     203.3,     196.6,     215.2,     206.2,     146.8,     112.8,      57.8,      44.4,    1591.9,
       386,1981-2010,        46,      41.6,      73.6,     104.8,     162.4,     193.9,     193.5,     208.7,     194.4,     133.4,      93.8,      40.5,      32.6,    1473.3,
       390,1981-2010,        42,        46,        78,       108,       164,       198,       197,       212,       199,       137,        98,        45,        36,      1518,
       395,1981-2010,        46,      52.9,      74.7,     116.6,     184.5,     232.9,       220,     238.2,     219.4,     157.9,     117.9,      56.2,      41.8,      1713,
       399,1981-2010,        42,        52,        73,       119,       184,       231,       219,       238,       219,       156,       117,        55,        41,      1704,
       400,1981-2010,        46,      51.3,      73.6,     117.5,     183.6,     226.2,     216.7,       234,     216.5,     150.2,     113.9,      53.8,      40.2,    1677.5,
       402,1981-2010,        46,        56,      75.8,     119.6,     183.8,     230.2,     219.6,     238.6,     219.4,     159.3,     119.4,      59.1,      44.6,    1725.3,
       403,1981-2010,        44,      55.8,      76.1,     119.1,     183.4,     229.9,     219.4,     238.5,     218.3,     158.2,     119.8,      58.8,      44.3,    1726.6,
       405,1981-2010,        46,        52,      74.1,     117.6,     185.4,     232.8,     220.7,     240.2,       221,     157.8,     118.2,      55.6,      41.1,    1716.5,
       407,1981-2010,        42,        52,        73,       117,       183,       230,       217,       237,       218,       155,       115,        55,        41,      1693,
       408,1981-2010,        46,      51.7,        73,     116.9,     182.8,     230.7,     218.5,     238.1,     218.4,     155.2,       116,      55.3,      40.9,    1697.5,
       410,1981-2010,        42,        52,        74,       118,       186,       234,       222,       242,       223,       159,       119,        56,        41,      1726,
       416,1981-2010,        42,        53,        75,       117,       184,       232,       220,       238,       220,       157,       118,        56,        42,      1712,
       417,1981-2010,        46,      53.9,        75,       118,     183.8,     230.6,     219.3,     238.5,     219.7,     157.5,     118.8,      57.1,      42.7,    1714.9,
       420,1981-2010,        42,        52,        74,       118,       183,       229,       218,       237,       217,       155,       116,        56,        41,      1696,
       422,1981-2010,        46,      51.7,        73,     116.9,     182.8,     230.7,     218.5,     238.1,     218.4,     155.2,       116,      55.3,      40.9,    1697.5,
       424,1981-2010,        46,      51.9,      73.7,     117.9,     183.7,     230.8,     219.3,     237.8,     219.2,     155.8,     116.9,      55.4,      40.8,    1703.3,
       425,1981-2010,        42,        53,        74,       117,       185,       233,       220,       238,       219,       158,       118,        56,        42,      1713,
       427,1981-2010,        46,        53,      74.5,     117.1,     183.9,     232.1,     218.9,     236.3,     217.9,     158.1,     117.7,      56.5,      42.6,    1708.5,
       429,1981-2010,        46,      51.6,      72.9,     115.7,     182.7,     230.4,     217.8,     237.4,       218,     154.8,     116.2,      55.4,      40.7,    1693.6,
       430,1981-2010,        44,        51,      70.3,     114.5,       179,     229.2,     219.2,     239.3,     218.3,     151.7,     115.3,      54.8,      40.7,    1682.6,
       432,1981-2010,        46,      50.8,      72.1,     114.7,     181.8,     230.5,     217.5,     237.6,     217.5,     153.9,     115.1,      54.7,      40.4,    1686.6,
       433,1981-2010,        44,      51.9,      73.6,     115.8,     181.5,     229.4,     219.7,     238.2,     219.7,       157,     117.6,      55.8,      40.8,    1705.2,
       434,1981-2010,        46,      52.1,        74,     116.7,     183.3,     231.4,     219.7,     238.3,     219.6,       157,     117.6,      55.8,        41,    1706.6,
       435,1981-2010,        46,      53.9,        75,       118,       184,     230.6,     219.4,     238.6,     219.8,     157.6,     118.8,      57.1,      42.7,    1715.5,
       445,1981-2010,        42,        56,        77,       115,       173,       221,       213,       223,       211,       149,       113,        59,        44,      1654,
       460,1981-2010,        42,        47,        82,       123,       177,       207,       219,       244,       221,       160,       102,        52,        39,      1673,
       474,1981-2010,        46,      62.3,      86.6,     125.9,     165.8,     198.2,     209.4,     233.9,     215.6,       158,     109.7,        64,      47.5,      1677,
       480,1981-2010,        46,      45.5,      74.7,     111.3,     166.2,     194.8,     196.6,     214.6,     199.2,       140,      93.5,      42.1,      34.2,    1512.6,
       502,1981-2010,        44,      39.6,      72.1,     110.2,     159.6,     205.6,     203.9,     231.6,     218.6,     155.5,        98,      46.7,        30,    1571.4,
       524,1981-2010,        46,      55.6,        76,     114.4,     176.5,     221.1,     211.1,     227.3,     211.8,     151.2,     116.4,      56.6,      44.4,    1662.3,
       526,1981-2010,        46,      37.2,      63.7,      99.5,     158.6,     191.9,     186.1,     208.6,     191.8,     133.9,      94.3,      38.4,      26.6,    1430.6,
       535,1981-2010,        42,        46,        77,       113,       165,       193,       201,       217,       200,       146,       100,        51,        36,      1545,
       550,1981-2010,        46,      59.1,      77.1,     111.6,     165.8,     204.5,     193.8,     213.9,     204.5,     147.4,     113.5,      58.7,      46.5,    1596.5,
       553,1981-2010,        46,      53.5,      77.6,     112.7,       171,     208.1,     199.2,     212.9,     193.9,     140.1,     110.6,      57.6,      42.5,    1579.7,
       555,1981-2010,        42,        50,        73,       106,       159,       191,       184,       200,       183,       132,       104,        53,        40,      1475,
       576,1981-2010,        46,      64.2,      85.1,     122.7,     164.8,     196.9,     210.6,     231.4,     218.4,     160.2,     111.5,      67.3,      48.5,    1681.4,
       578,1981-2010,        46,      53.3,      83.1,     120.5,       174,     212.5,     212.6,     232.7,     218.2,     156.2,     107.2,      51.9,        41,    1663.3,
       588,1981-2010,        46,      35.7,      62.7,      99.8,     157.7,     196.1,     187.3,       202,     189.9,       129,      89.4,      36.3,      24.9,    1410.7,
       591,1981-2010,        46,      46.1,      69.8,     110.5,     177.6,     230.6,     207.3,     227.2,     208.1,     150.3,     109.4,        52,      35.7,    1624.5,
       592,1981-2010,        46,      38.8,      62.2,     100.8,     168.3,     219.3,     196.1,       212,     198.4,     137.5,     101.2,      47.3,      31.1,      1513,
       596,1981-2010,        44,      47.5,        69,     121.8,     189.4,       252,     227.8,     243.3,       218,     154.8,     116.6,      56.7,      38.7,    1735.4,
       598,1981-2010,        46,      49.7,      75.4,     110.9,     162.9,     190.3,     195.7,     209.5,     193.4,     140.9,     103.3,      54.2,      39.1,    1525.3,
       599,1981-2010,        46,      49.9,      75.4,     110.4,     162.4,       190,     195.9,     209.8,     194.1,     140.8,       103,      53.5,      39.1,    1524.1,
       601,1981-2010,        46,      51.6,      76.7,     112.3,       162,     188.3,     193.3,       208,     192.4,     141.8,     104.7,      56.1,      40.2,    1527.3,
       603,1981-2010,        42,        51,        76,       110,       163,       190,       195,       209,       194,       141,       104,        55,        41,      1529,
       606,1981-2010,        46,      63.3,      85.8,     125.4,     165.2,     197.4,     207.2,     233.1,     213.4,     155.6,     109.7,      63.9,      48.2,    1668.2,
       614,1981-2010,        46,      39.3,      65.9,       102,     158.8,       195,     189.5,     201.9,     188.8,     130.8,      89.8,      39.6,      29.3,    1430.7,
       617,1981-2010,        42,        51,        75,       111,       166,       201,       194,       209,       189,       139,       107,        55,        41,      1538,
